date,time,weekday,competition,home,away,score,status
2026-07-05,13:00,Sonntag,FS/CJ/B-FS/BZ-B/1,SG Prenzlauer Berg U15,FSV Fortuna Pankow II,4:0,acknowledged
2026-08-29,09:00,Samstag,FS/CJ/K-FS/KR-B/1,SG Blankenburg II,FSV Fortuna Pankow II,-:-,scheduled
2026-09-05,10:30,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,SV Berlin-Chemie Adlershof II,FSV Fortuna Pankow II,-:-,scheduled
2026-09-12,12:00,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,FSV Fortuna Pankow II,SV Bau-Union Berlin II,-:-,scheduled
2026-09-20,12:30,Sonntag,2.C-Junioren Kreisklasse A St.1 Hin,FSV Berolina Stralau II,FSV Fortuna Pankow II,-:-,scheduled
2026-09-26,12:00,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,FSV Fortuna Pankow II,BSV GW Neukölln II,-:-,scheduled
2026-10-03,09:00,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,Pfeffersport II,FSV Fortuna Pankow II,-:-,scheduled
2026-10-10,12:00,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,FSV Fortuna Pankow II,Berliner TSC II,-:-,scheduled
2026-10-31,12:00,Samstag,2.C-Junioren Kreisklasse A St.1 Hin,FSV Fortuna Pankow II,VfB Hermsdorf U14,-:-,scheduled
2026-11-08,14:20,Sonntag,2.C-Junioren Kreisklasse A St.1 Hin,SF Kladow II,FSV Fortuna Pankow II,-:-,scheduled
2026-11-22,12:00,Sonntag,2.C-Junioren Kreisklasse A St.1 Hin,Grün Weiss Baumschulenweg II,FSV Fortuna Pankow II,-:-,scheduled
